北京市市辖区通州区台湖镇	110112114
北京市市辖区通州区永乐店镇	110112117
北京市市辖区通州区潞城镇	110112119
北京市市辖区通州区永顺镇	110112120
北京市市辖区通州区梨园镇	110112121
北京市市辖区通州区于家务回族乡	110112209
北京市市辖区顺义区	110113
北京市市辖区顺义区胜利街道	110113001
北京市市辖区顺义区光明街道	110113002
北京市市辖区顺义区仁和地区	110113003
北京市市辖区顺义区后沙峪地区	110113004
北京市市辖区顺义区天竺地区	110113005
北京市市辖区顺义区杨镇地区	110113006
北京市市辖区顺义区牛栏山地区	110113007
北京市市辖区顺义区南法信地区	110113008
北京市市辖区顺义区马坡地区	110113009
北京市市辖区顺义区石园街道	110113010
北京市市辖区顺义区空港街道	110113011
北京市市辖区顺义区双丰街道	110113012
北京市市辖区顺义区旺泉街道	110113013
北京市市辖区顺义区高丽营镇	110113101
北京市市辖区顺义区李桥镇	110113104
北京市市辖区顺义区李遂镇	110113105
北京市市辖区顺义区南彩镇	110113106
北京市市辖区顺义区北务镇	110113108
北京市市辖区顺义区大孙各庄镇	110113109
北京市市辖区顺义区张镇	110113110
北京市市辖区顺义区龙湾屯镇	110113111
北京市市辖区顺义区木林镇	110113112
北京市市辖区顺义区北小营镇	110113113
北京市市辖区顺义区北石槽镇	110113115
北京市市辖区顺义区赵全营镇	110113116
北京市市辖区昌平区	110114
北京市市辖区昌平区城北街道	110114001
北京市市辖区昌平区南口地区	110114002
北京市市辖区昌平区马池口地区	110114003
北京市市辖区昌平区沙河地区	110114004
北京市市辖区昌平区城南街道	110114005
北京市市辖区昌平区东小口地区	110114007
北京市市辖区昌平区天通苑北街道	110114008
北京市市辖区昌平区天通苑南街道	110114009
北京市市辖区昌平区霍营街道	110114010
北京市市辖区昌平区回龙观街道	110114011
北京市市辖区昌平区龙泽园街道	110114012
北京市市辖区昌平区史各庄街道	110114013
北京市市辖区昌平区阳坊镇	110114104
北京市市辖区昌平区小汤山镇	110114110
北京市市辖区昌平区南邵镇	110114111
北京市市辖区昌平区崔村镇	110114112
北京市市辖区昌平区百善镇	110114113
北京市市辖区昌平区北七家镇	110114115
北京市市辖区昌平区兴寿镇	110114116
北京市市辖区昌平区流村镇	110114118
北京市市辖区昌平区十三陵镇	110114119
北京市市辖区昌平区延寿镇	110114120
北京市市辖区大兴区	110115
北京市市辖区大兴区兴丰街道	110115001
北京市市辖区大兴区林校路街道	110115002
北京市市辖区大兴区清源街道	110115003
北京市市辖区大兴区亦庄地区	110115004
北京市市辖区大兴区黄村地区	110115005
北京市市辖区大兴区旧宫地区	110115006
北京市市辖区大兴区西红门地区	110115007
北京市市辖区大兴区瀛海地区	110115008
北京市市辖区大兴区观音寺街道	110115009
北京市市辖区大兴区天宫院街道	110115010
